="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="F0_index",="F1_index",="F2_index",="F3_index",="F4_index",="F5_index",="F6_index",="F7_index",="F8_index",="F9_index",="F10_index",="F11_index",="F12_index",="F13_index",="F14_index",="F15_index"
="L1_sent1_best",="0.049***",="0.065***",="0.068***",="0.073***",="0.078***",="0.074***",="0.091***",="0.078***",="0.078***",="0.081***",="0.079***",="0.069***",="0.057***",="0.051**",="0.057***",="0.063***"
="",="(0.007)",="(0.008)",="(0.010)",="(0.010)",="(0.013)",="(0.013)",="(0.014)",="(0.015)",="(0.016)",="(0.016)",="(0.018)",="(0.018)",="(0.020)",="(0.020)",="(0.022)",="(0.022)"
="L2_sent1_best",="-0.005",="-0.001",="0.004",="0.007",="0.006",="0.023**",="0.009",="0.016",="0.011",="0.006",="0.004",="0.002",="-0.006",="-0.004",="0.005",="0.001"
="",="(0.006)",="(0.006)",="(0.009)",="(0.009)",="(0.011)",="(0.011)",="(0.013)",="(0.013)",="(0.014)",="(0.015)",="(0.016)",="(0.016)",="(0.017)",="(0.017)",="(0.018)",="(0.019)"
="L3_sent1_best",="0.002",="0.004",="0.001",="-0.002",="0.007",="-0.005",="-0.002",="-0.007",="-0.004",="-0.008",="-0.013",="-0.028*",="-0.024",="-0.018",="-0.023",="-0.021"
="",="(0.006)",="(0.006)",="(0.009)",="(0.009)",="(0.011)",="(0.011)",="(0.012)",="(0.013)",="(0.014)",="(0.014)",="(0.015)",="(0.015)",="(0.017)",="(0.017)",="(0.018)",="(0.019)"
="L4_sent1_best",="-0.006",="-0.010*",="-0.012",="-0.003",="-0.017",="-0.014",="-0.023*",="-0.021*",="-0.020",="-0.028**",="-0.039**",="-0.038**",="-0.031*",="-0.033**",="-0.034*",="-0.031*"
="",="(0.006)",="(0.006)",="(0.009)",="(0.009)",="(0.011)",="(0.010)",="(0.013)",="(0.012)",="(0.014)",="(0.013)",="(0.016)",="(0.015)",="(0.017)",="(0.017)",="(0.019)",="(0.018)"
="L5_sent1_best",="0.002",="0.000",="0.007",="-0.003",="0.006",="-0.009",="-0.010",="-0.006",="-0.015",="-0.026*",="-0.023",="-0.014",="-0.016",="-0.017",="-0.019",="-0.017"
="",="(0.006)",="(0.006)",="(0.009)",="(0.009)",="(0.011)",="(0.011)",="(0.013)",="(0.012)",="(0.013)",="(0.013)",="(0.015)",="(0.015)",="(0.017)",="(0.017)",="(0.018)",="(0.018)"
="L6_sent1_best",="-0.008",="-0.003",="-0.013",="-0.003",="-0.015",="-0.013",="-0.007",="-0.016",="-0.030**",="-0.029*",="-0.022",="-0.028",="-0.028",="-0.033*",="-0.036*",="-0.035*"
="",="(0.006)",="(0.007)",="(0.009)",="(0.009)",="(0.012)",="(0.012)",="(0.013)",="(0.013)",="(0.014)",="(0.015)",="(0.016)",="(0.017)",="(0.018)",="(0.019)",="(0.020)",="(0.020)"
="L7_sent1_best",="-0.001",="-0.000",="0.003",="-0.006",="-0.002",="0.003",="-0.003",="-0.012",="-0.007",="-0.001",="-0.005",="0.002",="-0.001",="-0.003",="0.004",="-0.005"
="",="(0.007)",="(0.007)",="(0.010)",="(0.010)",="(0.012)",="(0.012)",="(0.014)",="(0.014)",="(0.015)",="(0.016)",="(0.017)",="(0.018)",="(0.019)",="(0.021)",="(0.021)",="(0.022)"
="L8_sent1_best",="0.001",="0.001",="-0.004",="-0.001",="0.001",="-0.005",="-0.008",="-0.001",="0.003",="0.003",="0.009",="0.012",="0.013",="0.023",="0.011",="0.008"
="",="(0.006)",="(0.006)",="(0.009)",="(0.009)",="(0.011)",="(0.011)",="(0.013)",="(0.013)",="(0.015)",="(0.015)",="(0.017)",="(0.016)",="(0.019)",="(0.018)",="(0.020)",="(0.019)"
="L1_returns",="-0.012",="-0.036***",="-0.045***",="-0.043***",="-0.060***",="-0.079***",="-0.066***",="-0.050***",="-0.040**",="-0.025",="-0.027",="-0.016",="0.010",="0.015",="0.029",="0.038*"
="",="(0.009)",="(0.009)",="(0.013)",="(0.013)",="(0.015)",="(0.016)",="(0.017)",="(0.017)",="(0.019)",="(0.020)",="(0.022)",="(0.022)",="(0.024)",="(0.023)",="(0.026)",="(0.023)"
="L2_returns",="-0.024***",="-0.037***",="-0.039***",="-0.052***",="-0.066***",="-0.055***",="-0.041**",="-0.032*",="-0.022",="-0.028",="-0.015",="0.012",="0.020",="0.038*",="0.044*",="0.061**"
="",="(0.008)",="(0.009)",="(0.012)",="(0.012)",="(0.015)",="(0.015)",="(0.017)",="(0.016)",="(0.020)",="(0.019)",="(0.022)",="(0.021)",="(0.023)",="(0.022)",="(0.023)",="(0.025)"
="L3_returns",="-0.015*",="-0.023***",="-0.034***",="-0.046***",="-0.037**",="-0.026*",="-0.012",="0.003",="-0.003",="0.013",="0.036*",="0.044**",="0.065***",="0.076***",="0.090***",="0.084***"
="",="(0.008)",="(0.009)",="(0.011)",="(0.012)",="(0.014)",="(0.014)",="(0.016)",="(0.017)",="(0.019)",="(0.018)",="(0.021)",="(0.019)",="(0.022)",="(0.020)",="(0.025)",="(0.021)"
="L4_returns",="0.001",="-0.017**",="-0.030***",="-0.018",="-0.007",="0.004",="0.019",="0.016",="0.029",="0.054***",="0.061***",="0.080***",="0.086***",="0.103***",="0.099***",="0.102***"
="",="(0.008)",="(0.008)",="(0.011)",="(0.012)",="(0.013)",="(0.014)",="(0.016)",="(0.016)",="(0.018)",="(0.018)",="(0.020)",="(0.021)",="(0.021)",="(0.023)",="(0.022)",="(0.024)"
="L5_returns",="-0.013*",="-0.026***",="-0.014",="0.003",="0.014",="0.025*",="0.022",="0.034**",="0.056***",="0.063***",="0.079***",="0.082***",="0.097***",="0.091***",="0.093***",="0.100***"
="",="(0.007)",="(0.008)",="(0.011)",="(0.011)",="(0.013)",="(0.014)",="(0.015)",="(0.016)",="(0.017)",="(0.018)",="(0.019)",="(0.018)",="(0.021)",="(0.020)",="(0.023)",="(0.020)"
="L6_returns",="-0.013*",="-0.001",="0.018*",="0.025**",="0.037***",="0.032**",="0.043***",="0.067***",="0.072***",="0.089***",="0.096***",="0.112***",="0.104***",="0.105***",="0.113***",="0.126***"
="",="(0.007)",="(0.007)",="(0.010)",="(0.011)",="(0.013)",="(0.013)",="(0.016)",="(0.015)",="(0.018)",="(0.017)",="(0.018)",="(0.019)",="(0.020)",="(0.021)",="(0.021)",="(0.023)"
="L7_returns",="0.012*",="0.030***",="0.038***",="0.051***",="0.044***",="0.055***",="0.076***",="0.081***",="0.095***",="0.101***",="0.115***",="0.112***",="0.113***",="0.121***",="0.136***",="0.146***"
="",="(0.007)",="(0.007)",="(0.010)",="(0.011)",="(0.013)",="(0.014)",="(0.016)",="(0.015)",="(0.017)",="(0.016)",="(0.019)",="(0.016)",="(0.020)",="(0.018)",="(0.023)",="(0.019)"
="L8_returns",="0.011*",="0.020***",="0.033***",="0.028***",="0.042***",="0.066***",="0.071***",="0.087***",="0.092***",="0.110***",="0.106***",="0.105***",="0.115***",="0.127***",="0.130***",="0.131***"
="",="(0.006)",="(0.007)",="(0.011)",="(0.010)",="(0.014)",="(0.014)",="(0.016)",="(0.015)",="(0.016)",="(0.018)",="(0.016)",="(0.019)",="(0.017)",="(0.022)",="(0.019)",="(0.023)"
="F0_d_returns_h",="12.607***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.780)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="F0_d_returns_l",="-11.024***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.644)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="L1_vlm_ma60_adj",="0.035*",="0.078***",="0.102***",="0.071***",="0.083**",="0.086***",="0.092***",="0.103***",="0.144***",="0.173***",="0.194***",="0.227***",="0.230***",="0.230***",="0.244***",="0.231***"
="",="(0.019)",="(0.018)",="(0.027)",="(0.025)",="(0.033)",="(0.030)",="(0.035)",="(0.035)",="(0.038)",="(0.039)",="(0.043)",="(0.041)",="(0.044)",="(0.045)",="(0.052)",="(0.048)"
="L2_vlm_ma60_adj",="0.032*",="0.053***",="0.027",="0.048*",="0.051",="0.064**",="0.083**",="0.112***",="0.135***",="0.137***",="0.162***",="0.155***",="0.158***",="0.163***",="0.146***",="0.162***"
="",="(0.019)",="(0.019)",="(0.026)",="(0.027)",="(0.032)",="(0.030)",="(0.036)",="(0.036)",="(0.040)",="(0.043)",="(0.043)",="(0.045)",="(0.046)",="(0.052)",="(0.050)",="(0.053)"
="L3_vlm_ma60_adj",="0.011",="-0.022",="-0.008",="-0.008",="-0.003",="0.007",="0.030",="0.055",="0.053",="0.068*",="0.063",="0.059",="0.055",="0.045",="0.070",="0.057"
="",="(0.019)",="(0.019)",="(0.026)",="(0.023)",="(0.030)",="(0.029)",="(0.035)",="(0.035)",="(0.041)",="(0.038)",="(0.043)",="(0.041)",="(0.050)",="(0.044)",="(0.051)",="(0.045)"
="L4_vlm_ma60_adj",="-0.041**",="-0.027",="-0.024",="-0.015",="-0.003",="0.019",="0.048",="0.049",="0.065*",="0.060",="0.057",="0.047",="0.036",="0.059",="0.039",="0.047"
="",="(0.017)",="(0.019)",="(0.023)",="(0.024)",="(0.030)",="(0.030)",="(0.035)",="(0.038)",="(0.038)",="(0.041)",="(0.041)",="(0.048)",="(0.043)",="(0.048)",="(0.045)",="(0.052)"
="L5_vlm_ma60_adj",="0.015",="0.007",="0.004",="0.022",="0.046",="0.075**",="0.072**",="0.093***",="0.089**",="0.078**",="0.067",="0.071*",="0.096**",="0.078*",="0.093*",="0.112**"
="",="(0.018)",="(0.018)",="(0.024)",="(0.024)",="(0.029)",="(0.030)",="(0.036)",="(0.035)",="(0.038)",="(0.036)",="(0.045)",="(0.039)",="(0.047)",="(0.041)",="(0.050)",="(0.046)"
="L6_vlm_ma60_adj",="-0.000",="0.005",="0.019",="0.043*",="0.076**",="0.064**",="0.077**",="0.066**",="0.052",="0.050",="0.042",="0.059",="0.035",="0.056",="0.078",="0.072"
="",="(0.017)",="(0.017)",="(0.024)",="(0.024)",="(0.031)",="(0.032)",="(0.035)",="(0.033)",="(0.037)",="(0.038)",="(0.039)",="(0.039)",="(0.042)",="(0.041)",="(0.048)",="(0.046)"
="L7_vlm_ma60_adj",="0.023",="0.041**",="0.066***",="0.097***",="0.085**",="0.102***",="0.092**",="0.085**",="0.079*",="0.073*",="0.102**",="0.079*",="0.097**",="0.111**",="0.086*",="0.089*"
="",="(0.017)",="(0.019)",="(0.025)",="(0.028)",="(0.033)",="(0.032)",="(0.036)",="(0.036)",="(0.041)",="(0.039)",="(0.041)",="(0.043)",="(0.044)",="(0.048)",="(0.049)",="(0.049)"
="L8_vlm_ma60_adj",="0.026",="0.065***",="0.096***",="0.092***",="0.113***",="0.097***",="0.091**",="0.095***",="0.105***",="0.121***",="0.096**",="0.115***",="0.126***",="0.111**",="0.108**",="0.104**"
="",="(0.018)",="(0.015)",="(0.025)",="(0.025)",="(0.031)",="(0.030)",="(0.035)",="(0.036)",="(0.040)",="(0.038)",="(0.044)",="(0.040)",="(0.048)",="(0.045)",="(0.051)",="(0.050)"
="L1_vol_ma60",="0.006***",="0.006***",="0.006**",="0.010***",="0.011***",="0.012***",="0.010***",="0.008***",="0.006*",="0.006*",="0.006*",="0.005",="0.003",="0.004",="0.003",="0.003"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.003)",="(0.004)",="(0.003)",="(0.003)"
="L2_vol_ma60",="-0.002",="-0.003*",="-0.000",="0.001",="0.001",="-0.000",="-0.002",="-0.002",="-0.002",="-0.002",="-0.003",="-0.004",="-0.004",="-0.004",="-0.004",="-0.003"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"
="L3_vol_ma60",="0.001",="0.004**",="0.005***",="0.005***",="0.003*",="0.002",="0.002",="0.002",="0.002",="0.001",="-0.000",="0.000",="0.000",="0.000",="0.002",="0.004"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)"
="L4_vol_ma60",="0.002*",="0.003",="0.002*",="-0.000",="-0.002",="-0.003",="-0.003",="-0.002",="-0.004*",="-0.005**",="-0.005*",="-0.004*",="-0.004",="-0.002",="0.001",="-0.000"
="",="(0.001)",="(0.002)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"
="L5_vol_ma60",="-0.001",="-0.000",="0.000",="-0.002",="-0.004*",="-0.004*",="-0.003*",="-0.005**",="-0.006***",="-0.006**",="-0.006**",="-0.006**",="-0.005*",="-0.002",="-0.005",="-0.009***"
