="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)"
="",="F0_index",="F1_index",="F2_index",="F3_index",="F4_index",="F5_index",="F6_index",="F7_index",="F8_index",="F9_index",="F10_index",="F11_index",="F12_index",="F13_index",="F14_index",="F15_index",="F16_index",="F17_index",="F18_index",="F19_index",="F20_index"
="L1_t_sent1_best_local",="0.029***",="0.036***",="0.035***",="0.019",="0.037**",="0.037**",="0.032*",="0.034*",="0.037*",="0.037*",="0.035",="0.022",="0.030",="0.032",="0.047*",="0.031",="0.028",="0.040",="0.033",="0.044",="0.042"
="",="(0.009)",="(0.010)",="(0.013)",="(0.014)",="(0.015)",="(0.016)",="(0.017)",="(0.018)",="(0.019)",="(0.020)",="(0.022)",="(0.023)",="(0.024)",="(0.025)",="(0.027)",="(0.027)",="(0.030)",="(0.029)",="(0.032)",="(0.031)",="(0.033)"
="L2_t_sent1_best_local",="-0.006",="-0.010",="-0.021*",="-0.016",="-0.017",="-0.020",="-0.015",="-0.017",="-0.013",="-0.017",="-0.021",="-0.017",="-0.017",="-0.014",="-0.015",="-0.009",="0.002",="-0.018",="-0.004",="-0.006",="-0.004"
="",="(0.008)",="(0.008)",="(0.012)",="(0.011)",="(0.014)",="(0.014)",="(0.016)",="(0.017)",="(0.018)",="(0.019)",="(0.020)",="(0.020)",="(0.021)",="(0.023)",="(0.022)",="(0.024)",="(0.025)",="(0.026)",="(0.028)",="(0.028)",="(0.029)"
="L3_t_sent1_best_local",="-0.007",="-0.012",="-0.007",="0.002",="0.003",="0.015",="0.001",="0.002",="-0.006",="-0.009",="-0.006",="-0.002",="0.003",="0.003",="-0.000",="0.016",="0.002",="0.015",="0.014",="0.010",="0.014"
="",="(0.008)",="(0.008)",="(0.012)",="(0.012)",="(0.015)",="(0.015)",="(0.017)",="(0.016)",="(0.018)",="(0.018)",="(0.020)",="(0.019)",="(0.023)",="(0.022)",="(0.025)",="(0.024)",="(0.027)",="(0.026)",="(0.028)",="(0.028)",="(0.030)"
="L4_t_sent1_best_local",="-0.002",="-0.001",="-0.001",="0.003",="0.018",="0.010",="0.009",="0.006",="0.009",="0.011",="0.013",="0.030",="0.027",="0.024",="0.030",="0.023",="0.041",="0.035",="0.031",="0.040",="0.042"
="",="(0.008)",="(0.008)",="(0.012)",="(0.012)",="(0.014)",="(0.015)",="(0.016)",="(0.016)",="(0.018)",="(0.018)",="(0.019)",="(0.021)",="(0.021)",="(0.023)",="(0.023)",="(0.024)",="(0.025)",="(0.026)",="(0.027)",="(0.028)",="(0.029)"
="L5_t_sent1_best_local",="-0.007",="0.005",="0.003",="0.006",="0.007",="-0.004",="-0.006",="0.009",="0.003",="0.004",="0.014",="0.017",="0.016",="0.010",="0.005",="0.020",="0.015",="0.011",="0.017",="0.020",="0.020"
="",="(0.008)",="(0.009)",="(0.012)",="(0.012)",="(0.015)",="(0.015)",="(0.017)",="(0.017)",="(0.019)",="(0.018)",="(0.021)",="(0.020)",="(0.023)",="(0.022)",="(0.025)",="(0.024)",="(0.027)",="(0.026)",="(0.028)",="(0.027)",="(0.031)"
="L6_t_sent1_best_local",="-0.001",="0.014",="0.021",="0.007",="-0.014",="-0.006",="0.006",="-0.002",="-0.003",="0.010",="0.012",="0.012",="-0.003",="0.008",="0.024",="0.021",="0.023",="0.029",="0.023",="0.021",="0.021"
="",="(0.009)",="(0.009)",="(0.013)",="(0.014)",="(0.016)",="(0.015)",="(0.018)",="(0.018)",="(0.020)",="(0.020)",="(0.023)",="(0.022)",="(0.025)",="(0.024)",="(0.027)",="(0.026)",="(0.030)",="(0.029)",="(0.032)",="(0.032)",="(0.034)"
="L7_t_sent1_best_local",="0.000",="0.003",="-0.008",="-0.018",="-0.009",="0.006",="0.008",="0.013",="0.027",="0.033*",="0.026",="0.016",="0.014",="0.022",="0.023",="0.021",="0.015",="0.019",="0.008",="-0.004",="0.001"
="",="(0.009)",="(0.010)",="(0.013)",="(0.013)",="(0.016)",="(0.016)",="(0.019)",="(0.018)",="(0.021)",="(0.020)",="(0.022)",="(0.022)",="(0.024)",="(0.024)",="(0.026)",="(0.026)",="(0.029)",="(0.028)",="(0.031)",="(0.030)",="(0.033)"
="L8_t_sent1_best_local",="0.009",="-0.006",="-0.011",="-0.011",="-0.002",="-0.004",="0.004",="0.002",="0.006",="0.006",="0.004",="0.007",="0.010",="0.009",="0.007",="-0.000",="-0.002",="-0.014",="-0.010",="0.001",="-0.002"
="",="(0.009)",="(0.009)",="(0.012)",="(0.012)",="(0.015)",="(0.015)",="(0.018)",="(0.017)",="(0.020)",="(0.019)",="(0.022)",="(0.021)",="(0.024)",="(0.023)",="(0.026)",="(0.024)",="(0.027)",="(0.027)",="(0.029)",="(0.028)",="(0.032)"
="L1_factor_sent1_best_filter",="0.121***",="0.119***",="0.134***",="0.181***",="0.182***",="0.186***",="0.236***",="0.263***",="0.290***",="0.271***",="0.264***",="0.228***",="0.305***",="0.308***",="0.309***",="0.321***",="0.351***",="0.378***",="0.381***",="0.365***",="0.377***"
="",="(0.033)",="(0.038)",="(0.047)",="(0.048)",="(0.059)",="(0.055)",="(0.064)",="(0.060)",="(0.069)",="(0.069)",="(0.077)",="(0.071)",="(0.080)",="(0.076)",="(0.095)",="(0.081)",="(0.103)",="(0.088)",="(0.101)",="(0.092)",="(0.104)"
="L2_factor_sent1_best_filter",="-0.084***",="-0.025",="-0.040",="-0.083*",="-0.098*",="-0.093*",="-0.061",="-0.066",="-0.114",="-0.103",="-0.113",="-0.030",="-0.051",="-0.040",="-0.026",="-0.030",="0.012",="-0.012",="-0.046",="-0.053",="-0.060"
