="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)"
="",="F0_index",="F1_index",="F2_index",="F3_index",="F4_index",="F5_index",="F6_index",="F7_index",="F8_index",="F9_index",="F10_index",="F11_index",="F12_index",="F13_index",="F14_index",="F15_index",="F16_index",="F17_index",="F18_index",="F19_index",="F20_index"
="L1_t_sent1_best_local",="0.032***",="0.039***",="0.039***",="0.034***",="0.045***",="0.040***",="0.036***",="0.026**",="0.021",="0.023",="0.020",="0.008",="0.002",="-0.011",="-0.002",="-0.009",="-0.019",="-0.021",="-0.030",="-0.026",="-0.036"
="",="(0.007)",="(0.007)",="(0.010)",="(0.010)",="(0.012)",="(0.012)",="(0.013)",="(0.013)",="(0.015)",="(0.015)",="(0.016)",="(0.016)",="(0.018)",="(0.018)",="(0.019)",="(0.019)",="(0.020)",="(0.021)",="(0.022)",="(0.022)",="(0.023)"
="L2_t_sent1_best_local",="-0.006",="-0.011*",="-0.011",="-0.004",="-0.010",="-0.010",="-0.023*",="-0.023*",="-0.023",="-0.029**",="-0.032**",="-0.040***",="-0.055***",="-0.054***",="-0.056***",="-0.058***",="-0.058***",="-0.070***",="-0.067***",="-0.077***",="-0.084***"
="",="(0.006)",="(0.006)",="(0.009)",="(0.009)",="(0.011)",="(0.011)",="(0.012)",="(0.012)",="(0.014)",="(0.014)",="(0.015)",="(0.015)",="(0.017)",="(0.016)",="(0.018)",="(0.017)",="(0.020)",="(0.019)",="(0.021)",="(0.020)",="(0.022)"
="L3_t_sent1_best_local",="-0.003",="-0.004",="-0.001",="-0.008",="-0.011",="-0.019*",="-0.024**",="-0.025**",="-0.034**",="-0.036***",="-0.045***",="-0.058***",="-0.051***",="-0.056***",="-0.057***",="-0.058***",="-0.065***",="-0.060***",="-0.069***",="-0.078***",="-0.080***"
="",="(0.006)",="(0.006)",="(0.009)",="(0.009)",="(0.010)",="(0.011)",="(0.012)",="(0.012)",="(0.014)",="(0.013)",="(0.015)",="(0.015)",="(0.016)",="(0.016)",="(0.018)",="(0.018)",="(0.019)",="(0.019)",="(0.021)",="(0.021)",="(0.022)"
="L4_t_sent1_best_local",="-0.003",="-0.003",="-0.012",="-0.013",="-0.026**",="-0.029***",="-0.033***",="-0.039***",="-0.042***",="-0.052***",="-0.061***",="-0.055***",="-0.059***",="-0.061***",="-0.066***",="-0.069***",="-0.061***",="-0.065***",="-0.073***",="-0.079***",="-0.070***"
="",="(0.006)",="(0.006)",="(0.009)",="(0.009)",="(0.011)",="(0.011)",="(0.012)",="(0.012)",="(0.014)",="(0.013)",="(0.015)",="(0.015)",="(0.016)",="(0.016)",="(0.018)",="(0.017)",="(0.018)",="(0.019)",="(0.020)",="(0.020)",="(0.021)"
="L5_t_sent1_best_local",="-0.003",="-0.006",="-0.009",="-0.026***",="-0.025**",="-0.033***",="-0.039***",="-0.034***",="-0.039***",="-0.044***",="-0.047***",="-0.048***",="-0.054***",="-0.059***",="-0.067***",="-0.059***",="-0.065***",="-0.070***",="-0.075***",="-0.062***",="-0.066***"
