="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)"
="",="F0_index",="F1_index",="F2_index",="F3_index",="F4_index",="F5_index",="F6_index",="F7_index",="F8_index",="F9_index",="F10_index",="F11_index",="F12_index",="F13_index",="F14_index",="F15_index",="F16_index",="F17_index",="F18_index",="F19_index",="F20_index"
="L1_t_sent1_best_local",="0.031***",="0.039***",="0.037***",="0.039***",="0.048***",="0.039**",="0.034*",="0.018",="0.008",="0.010",="0.005",="-0.003",="-0.018",="-0.040",="-0.036",="-0.036",="-0.052*",="-0.062**",="-0.073**",="-0.072**",="-0.085**"
="",="(0.009)",="(0.009)",="(0.013)",="(0.013)",="(0.016)",="(0.016)",="(0.018)",="(0.018)",="(0.021)",="(0.021)",="(0.023)",="(0.023)",="(0.026)",="(0.025)",="(0.027)",="(0.027)",="(0.029)",="(0.029)",="(0.031)",="(0.030)",="(0.033)"
="L2_t_sent1_best_local",="-0.006",="-0.013",="-0.007",="0.003",="-0.008",="-0.006",="-0.029*",="-0.028*",="-0.031",="-0.039**",="-0.038*",="-0.055***",="-0.081***",="-0.080***",="-0.084***",="-0.090***",="-0.095***",="-0.104***",="-0.107***",="-0.121***",="-0.133***"
="",="(0.009)",="(0.008)",="(0.013)",="(0.012)",="(0.015)",="(0.015)",="(0.017)",="(0.017)",="(0.020)",="(0.018)",="(0.022)",="(0.021)",="(0.024)",="(0.022)",="(0.026)",="(0.024)",="(0.028)",="(0.026)",="(0.030)",="(0.029)",="(0.032)"
="L3_t_sent1_best_local",="-0.002",="0.001",="0.004",="-0.015",="-0.020",="-0.039***",="-0.040**",="-0.041**",="-0.052***",="-0.051***",="-0.070***",="-0.093***",="-0.085***",="-0.092***",="-0.090***",="-0.102***",="-0.106***",="-0.109***",="-0.120***",="-0.131***",="-0.137***"
="",="(0.008)",="(0.009)",="(0.012)",="(0.012)",="(0.014)",="(0.015)",="(0.017)",="(0.017)",="(0.018)",="(0.019)",="(0.020)",="(0.021)",="(0.021)",="(0.023)",="(0.023)",="(0.026)",="(0.025)",="(0.028)",="(0.028)",="(0.030)",="(0.029)"
="L4_t_sent1_best_local",="-0.004",="-0.004",="-0.020*",="-0.023*",="-0.054***",="-0.054***",="-0.060***",="-0.070***",="-0.074***",="-0.092***",="-0.108***",="-0.109***",="-0.113***",="-0.115***",="-0.125***",="-0.127***",="-0.126***",="-0.127***",="-0.140***",="-0.155***",="-0.144***"
="",="(0.008)",="(0.009)",="(0.012)",="(0.012)",="(0.015)",="(0.014)",="(0.017)",="(0.017)",="(0.019)",="(0.018)",="(0.020)",="(0.019)",="(0.022)",="(0.021)",="(0.025)",="(0.023)",="(0.026)",="(0.025)",="(0.028)",="(0.027)",="(0.030)"
="L5_t_sent1_best_local",="0.001",="-0.013",="-0.016",="-0.044***",="-0.042***",="-0.049***",="-0.059***",="-0.058***",="-0.062***",="-0.072***",="-0.085***",="-0.086***",="-0.096***",="-0.099***",="-0.111***",="-0.108***",="-0.114***",="-0.119***",="-0.130***",="-0.114***",="-0.119***"
