="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)"
="",="F0_index",="F1_index",="F2_index",="F3_index",="F4_index",="F5_index",="F6_index",="F7_index",="F8_index",="F9_index",="F10_index",="F11_index",="F12_index",="F13_index",="F14_index",="F15_index",="F16_index",="F17_index",="F18_index",="F19_index",="F20_index"
="L1_t_sent1_best_local",="0.029***",="0.034***",="0.037***",="0.033***",="0.043***",="0.039***",="0.035***",="0.026**",="0.018",="0.024",="0.025",="0.012",="0.003",="-0.009",="-0.003",="-0.007",="-0.016",="-0.017",="-0.026",="-0.021",="-0.028"
="",="(0.007)",="(0.007)",="(0.009)",="(0.009)",="(0.011)",="(0.011)",="(0.013)",="(0.013)",="(0.015)",="(0.015)",="(0.016)",="(0.017)",="(0.018)",="(0.018)",="(0.019)",="(0.019)",="(0.020)",="(0.021)",="(0.022)",="(0.022)",="(0.024)"
="L2_t_sent1_best_local",="-0.005",="-0.008",="-0.010",="-0.005",="-0.012",="-0.013",="-0.023*",="-0.025**",="-0.023",="-0.027**",="-0.030**",="-0.040***",="-0.056***",="-0.055***",="-0.056***",="-0.055***",="-0.052***",="-0.065***",="-0.062***",="-0.069***",="-0.077***"
="",="(0.006)",="(0.006)",="(0.009)",="(0.008)",="(0.010)",="(0.011)",="(0.012)",="(0.012)",="(0.014)",="(0.014)",="(0.015)",="(0.015)",="(0.017)",="(0.016)",="(0.018)",="(0.018)",="(0.020)",="(0.019)",="(0.021)",="(0.021)",="(0.022)"
="L3_t_sent1_best_local",="-0.001",="0.000",="0.003",="-0.005",="-0.009",="-0.015",="-0.022*",="-0.022*",="-0.029**",="-0.032**",="-0.042***",="-0.056***",="-0.048***",="-0.049***",="-0.048***",="-0.049***",="-0.056***",="-0.050***",="-0.056***",="-0.067***",="-0.068***"
="",="(0.006)",="(0.006)",="(0.008)",="(0.009)",="(0.010)",="(0.011)",="(0.012)",="(0.012)",="(0.013)",="(0.013)",="(0.015)",="(0.015)",="(0.016)",="(0.016)",="(0.017)",="(0.018)",="(0.019)",="(0.019)",="(0.021)",="(0.021)",="(0.022)"
="L4_t_sent1_best_local",="-0.003",="-0.001",="-0.013",="-0.013",="-0.024**",="-0.029***",="-0.031***",="-0.034***",="-0.036***",="-0.048***",="-0.057***",="-0.049***",="-0.051***",="-0.052***",="-0.055***",="-0.057***",="-0.049***",="-0.050***",="-0.061***",="-0.065***",="-0.057***"
="",="(0.006)",="(0.006)",="(0.008)",="(0.009)",="(0.010)",="(0.010)",="(0.012)",="(0.012)",="(0.013)",="(0.013)",="(0.014)",="(0.015)",="(0.016)",="(0.016)",="(0.018)",="(0.018)",="(0.018)",="(0.019)",="(0.020)",="(0.020)",="(0.021)"
="L5_t_sent1_best_local",="-0.002",="-0.008",="-0.011",="-0.021**",="-0.023**",="-0.031***",="-0.034***",="-0.030**",="-0.037***",="-0.041***",="-0.041***",="-0.039***",="-0.044***",="-0.045***",="-0.054***",="-0.046**",="-0.050***",="-0.055***",="-0.060***",="-0.049**",="-0.049**"
="",="(0.006)",="(0.006)",="(0.009)",="(0.009)",="(0.011)",="(0.011)",="(0.012)",="(0.012)",="(0.014)",="(0.014)",="(0.016)",="(0.015)",="(0.017)",="(0.017)",="(0.018)",="(0.018)",="(0.019)",="(0.020)",="(0.021)",="(0.022)",="(0.022)"
="L6_t_sent1_best_local",="-0.003",="-0.012*",="-0.021**",="-0.022**",="-0.036***",="-0.031***",="-0.032**",="-0.040***",="-0.040***",="-0.037**",="-0.029*",="-0.040**",="-0.043**",="-0.042**",="-0.035*",="-0.035*",="-0.044**",="-0.048**",="-0.036*",="-0.047**",="-0.056**"
